rank,track_name,artist_name,listeners,mbid,url,date,country
51,CARNAVAL,Marina Sena,24799,3ad00e7b-052f-4024-b3f1-8944a5e610f6,https://www.last.fm/music/Marina+Sena/_/CARNAVAL,2026-04-19,Brazil
52,So Much Love,Anitta,24371,798f84b2-a254-4cc9-96f9-43eb5d6b24d1,https://www.last.fm/music/Anitta/_/So+Much+Love,2026-04-19,Brazil
53,Merry Go Round,BTS,24361,b9462ebb-1d6d-4477-a12b-402c0b65b206,https://www.last.fm/music/BTS/_/Merry+Go+Round,2026-04-19,Brazil
54,The Less I Know the Better,Tame Impala,24277,0409caa8-c467-4455-8033-05ff8d9345f1,https://www.last.fm/music/Tame+Impala/_/The+Less+I+Know+the+Better,2026-04-19,Brazil
55,Please,BTS,24003,2ce03059-d0a9-4b10-bec6-de779d6f5fe9,https://www.last.fm/music/BTS/_/Please,2026-04-19,Brazil
56,One More Night,BTS,23400,b4ae8f7c-14ea-4882-81e2-6e35fd6de44f,https://www.last.fm/music/BTS/_/One+More+Night,2026-04-19,Brazil
57,The Fate of Ophelia,Taylor Swift,23309,8670a098-6ab7-4e18-8ac0-0ec7259151f8,https://www.last.fm/music/Taylor+Swift/_/The+Fate+of+Ophelia,2026-04-19,Brazil
58,Sinais de fogo,Preta Gil,23268,9a64f5d2-c228-4deb-ba6f-dbc8d1a6a3f6,https://www.last.fm/music/Preta+Gil/_/Sinais+de+fogo,2026-04-19,Brazil
59,CRANK,Slayyyter,23072,eaf77053-fc29-4274-adfd-3ffe21e9c604,https://www.last.fm/music/Slayyyter/_/CRANK,2026-04-19,Brazil
60,Bed Chem,Sabrina Carpenter,22857,1026b368-00b8-4f0d-b29b-b845e5e6e62c,https://www.last.fm/music/Sabrina+Carpenter/_/Bed+Chem,2026-04-19,Brazil
61,Pinterest (Spanish),Anitta,22407,,https://www.last.fm/music/Anitta/_/Pinterest+(Spanish),2026-04-19,Brazil
62,JETSKI,PEDRO SAMPAIO,22140,a7173349-fdb5-463d-a929-3702a0ee2c1a,https://www.last.fm/music/PEDRO+SAMPAIO/_/JETSKI,2026-04-19,Brazil
63,Into the Sun,BTS,21980,24909119-fb10-416b-b8d4-fd9016f75033,https://www.last.fm/music/BTS/_/Into+the+Sun,2026-04-19,Brazil
64,Fuso,Duquesa,21886,,https://www.last.fm/music/Duquesa/_/Fuso,2026-04-19,Brazil
65,Ouro,Anitta,21653,,https://www.last.fm/music/Anitta/_/Ouro,2026-04-19,Brazil
66,Gnarly,KATSEYE,21628,1a854a92-abda-47bd-bec8-c9955b3f1b78,https://www.last.fm/music/KATSEYE/_/Gnarly,2026-04-19,Brazil
67,"Lover, You Should've Come Over",Jeff Buckley,21413,027cdcbb-96e7-351b-a7b5-d1004440e0f1,"https://www.last.fm/music/Jeff+Buckley/_/Lover,+You+Should%27ve+Come+Over",2026-04-19,Brazil
68,Gabriela,KATSEYE,21257,12c88454-f052-4840-bd81-b8e44138cf2d,https://www.last.fm/music/KATSEYE/_/Gabriela,2026-04-19,Brazil
69,Oi Linda,NandaTsunami,21018,2833cc64-3d0c-4a5b-979f-b50954ae3a24,https://www.last.fm/music/NandaTsunami/_/Oi+Linda,2026-04-19,Brazil
70,Sugar Talking,Sabrina Carpenter,20921,528bc581-b02a-4146-9d3d-785aae605a1e,https://www.last.fm/music/Sabrina+Carpenter/_/Sugar+Talking,2026-04-19,Brazil
71,SEQUÊNCIA CUNT (feat. Clementaum),PEDRO SAMPAIO,20871,4721b241-7e88-4aed-810c-79481db23420,https://www.last.fm/music/PEDRO+SAMPAIO/_/SEQU%C3%8ANCIA+CUNT+(feat.+Clementaum),2026-04-19,Brazil
72,DANCE...,Slayyyter,20824,5e5cc08e-b4a5-43e4-a5f7-a8befec7ca25,https://www.last.fm/music/Slayyyter/_/DANCE...,2026-04-19,Brazil
73,OLD TECHNOLOGY,Slayyyter,20735,092de074-146a-43e3-bd42-c587e81005ba,https://www.last.fm/music/Slayyyter/_/OLD+TECHNOLOGY,2026-04-19,Brazil
74,End of Beginning,Djo,20703,298a594f-d201-41c3-a9a6-9e362d5c5c03,https://www.last.fm/music/Djo/_/End+of+Beginning,2026-04-19,Brazil
75,Pq Vc Não Me Liga?,NandaTsunami,20697,6d19a257-0000-4e67-922f-c9359bfc6089,https://www.last.fm/music/NandaTsunami/_/Pq+Vc+N%C3%A3o+Me+Liga%3F,2026-04-19,Brazil
76,My Man on Willpower,Sabrina Carpenter,20574,5464e9ab-6301-4dc3-ac42-30005b4460fc,https://www.last.fm/music/Sabrina+Carpenter/_/My+Man+on+Willpower,2026-04-19,Brazil
77,Casual,Chappell Roan,20438,52daa09b-aca8-4f97-baae-aa1e21e3a046,https://www.last.fm/music/Chappell+Roan/_/Casual,2026-04-19,Brazil
78,GAS STATION,Slayyyter,20391,dc47f4f9-7a14-4c11-8f4d-c555bceaa484,https://www.last.fm/music/Slayyyter/_/GAS+STATION,2026-04-19,Brazil
79,Sign of the Times,Harry Styles,20262,03296d3a-6bee-4bcb-84dc-72d8307b1f4a,https://www.last.fm/music/Harry+Styles/_/Sign+of+the+Times,2026-04-19,Brazil
80,Illegal,PinkPantheress,20187,013ebe38-b85b-4f70-8667-e631b1cf32ab,https://www.last.fm/music/PinkPantheress/_/Illegal,2026-04-19,Brazil
81,back to friends,sombr,19980,12f8214c-b2a2-4372-a566-e000a3bf1ef1,https://www.last.fm/music/sombr/_/back+to+friends,2026-04-19,Brazil
82,Sorry,Justin Bieber,19806,01560ee8-5e6d-4803-8ebe-dd64b6ae882b,https://www.last.fm/music/Justin+Bieber/_/Sorry,2026-04-19,Brazil
83,Dracula,Tame Impala,19711,5b1c893a-16da-4e3d-b9b7-6cc57afc360c,https://www.last.fm/music/Tame+Impala/_/Dracula,2026-04-19,Brazil
84,RUDE!,Hearts2Hearts,19508,b98e4697-eeaa-483a-88fb-4da7b35d4774,https://www.last.fm/music/Hearts2Hearts/_/RUDE%21,2026-04-19,Brazil
85,Diet Pepsi,Addison Rae,19499,49da01a2-aecd-4449-83f6-c81ca5de7321,https://www.last.fm/music/Addison+Rae/_/Diet+Pepsi,2026-04-19,Brazil
86,Coisas Naturais,Marina Sena,19380,0da54635-bb4d-497d-bae2-43595dd71ee7,https://www.last.fm/music/Marina+Sena/_/Coisas+Naturais,2026-04-19,Brazil
87,Sweater Weather,The Neighbourhood,19347,19f56d18-090a-4f50-b427-a655e9a2521e,https://www.last.fm/music/The+Neighbourhood/_/Sweater+Weather,2026-04-19,Brazil
88,Never Say Never,Justin Bieber,19104,147aed59-320b-3ead-af22-abe1759e5633,https://www.last.fm/music/Justin+Bieber/_/Never+Say+Never,2026-04-19,Brazil
