date,artist_name,track_name,track_playcount,track_listeners,track_rank
2026-04-22,DU'L,A Firma Vai para a Rua,1015,534,2
2026-04-22,DU'L,Agora Que Eu Sei,1233,491,3
2026-04-22,DU'L,É Só Uma Fase (Modo Esquece 2),1492,379,4
2026-04-22,DU'L,Querido Céu,1584,263,5
2026-04-22,DU'L,Não Vou Atender,679,262,6
2026-04-22,DU'L,Mc Dena & DU'L On The Radar Freestyle,280,172,7
2026-04-22,DU'L,Mais Caro,225,113,8
2026-04-22,DU'L,E a Grana Me Persegue,68,49,9
2026-04-22,DU'L,Saudade,77,33,10
2026-04-22,Felipe e Rodrigo,Gosta De Rua - Ao Vivo,576772,79905,1
2026-04-22,Felipe e Rodrigo,Média Boa - Ao Vivo,243853,46491,2
2026-04-22,Felipe e Rodrigo,Caos De Alguém - Ao Vivo,140197,25600,3
2026-04-22,Felipe e Rodrigo,Oceano - Ao Vivo,210511,23516,4
2026-04-22,Felipe e Rodrigo,Ignora (Ao Vivo),107667,21918,5
2026-04-22,Felipe e Rodrigo,Melhor Me Bloquear - Ao Vivo,113677,21148,6
2026-04-22,Felipe e Rodrigo,Banquinho - Ao Vivo,86398,19520,7
2026-04-22,Felipe e Rodrigo,Saudade Butequeira - Ao Vivo,89198,17731,8
2026-04-22,Felipe e Rodrigo,Aham - Ao Vivo,73515,17723,9
2026-04-22,Felipe e Rodrigo,"Beijo, Fumaça E Mentira - Ao Vivo",59951,13291,10
2026-04-22,Grelo,Só Fé,490987,102273,1
2026-04-22,Grelo,De Graça ou Pagando,309375,63759,2
2026-04-22,Grelo,Paredões,178177,38017,3
2026-04-22,Grelo,Perto De Você,99178,24993,4
2026-04-22,Grelo,Vida Loka - Pt 1,67104,19745,5
2026-04-22,Grelo,Longe e Se Querendo,54044,13970,6
2026-04-22,Grelo,Dias De Luta,41743,12434,7
2026-04-22,Grelo,Eu Queria Mudar,24283,8280,8
2026-04-22,Grelo,Alma De Pipa,25220,8162,9
2026-04-22,Grelo,Não Faz Sentido,23856,7576,10
2026-04-22,Grupo Menos É Mais,Lapada Dela - Ao Vivo,1843509,224323,1
2026-04-22,Grupo Menos É Mais,Coração Partido (Corazón Partío) - Ao Vivo,1618052,194037,2
2026-04-22,Grupo Menos É Mais,Pot-Pourri: Melhor Eu Ir / Ligando Os Fatos / Sonho de Amor / Deixa Eu Te Querer - Ao Vivo,999569,149597,3
2026-04-22,Grupo Menos É Mais,P do Pecado - Ao Vivo,1021891,138291,4
2026-04-22,Grupo Menos É Mais,Adorei,552752,116354,5
2026-04-22,Grupo Menos É Mais,Vai Me Dando Corda - Ao Vivo,527763,104613,6
2026-04-22,Grupo Menos É Mais,Até Que Durou / Tu Mandas No Meu Coração / Adorei / Supera,442354,90426,7
2026-04-22,Grupo Menos É Mais,Aquele Lugar - Ao Vivo,415910,82718,8
2026-04-22,Grupo Menos É Mais,Pela Última Vez - Ao Vivo,469814,81711,9
2026-04-22,Grupo Menos É Mais,Recaída,317065,72923,10
2026-04-22,Gubeatz,Jardim Europa,92,38,1
2026-04-22,Gubeatz,"Sítio do Gordinho (feat. MC Jvila, MC Rn do Capão, GvsnoBeat)",65,26,2
2026-04-22,Gubeatz,#Arab TRAP (2014),50,23,3
2026-04-22,Gubeatz,Marina,10,9,4
2026-04-22,Gubeatz,Teu Rei,4,4,5
2026-04-22,Gubeatz,Ak Dragão,4,3,6
2026-04-22,Gubeatz,Cavalona,3,3,7
2026-04-22,Gubeatz,Girando as Capitais,11,2,8
2026-04-22,Gubeatz,Amiga Piolha,4,2,9
2026-04-22,Gubeatz,Rotina,3,2,10
2026-04-22,Gusttavo Lima,Balada - Ao Vivo,658823,135796,1
2026-04-22,Gusttavo Lima,Balada,614851,97195,2
2026-04-22,Gusttavo Lima,Canudinho - Ao Vivo,597285,84579,3
2026-04-22,Gusttavo Lima,Apelido Carinhoso,402649,80712,4
2026-04-22,Gusttavo Lima,Bloqueado - Ao Vivo,485589,74832,5
2026-04-22,Gusttavo Lima,Inventor dos Amores (feat. Jorge & Mateus) - Ao Vivo,312171,55469,6
2026-04-22,Gusttavo Lima,Mala dos Porta-Mala - Ao Vivo,301078,52406,7
2026-04-22,Gusttavo Lima,Termina comigo antes,306299,51703,8
2026-04-22,Gusttavo Lima,Ficha Limpa,362830,50325,9
2026-04-22,Gusttavo Lima,A Gente Fez Amor - Ao Vivo,407409,44443,10
2026-04-22,Henrique & Juliano,Aquela Pessoa - Ao Vivo,1083345,155921,1
2026-04-22,Henrique & Juliano,Como É Que a Gente Fica - Ao Vivo,1074486,151638,2
2026-04-22,Henrique & Juliano,Liberdade Provisória - Live - Ibirapuera / 2019,814858,138971,3
2026-04-22,Henrique & Juliano,Na Hora da Raiva - Ao Vivo,854320,132469,4
2026-04-22,Henrique & Juliano,Vidinha de Balada - Ao Vivo,727885,131120,5
2026-04-22,Henrique & Juliano,Flor e o Beija-Flor - Ao Vivo,718943,123391,6
2026-04-22,Henrique & Juliano,De Trás Pra Frente - Ao Vivo,792403,111179,7
2026-04-22,Henrique & Juliano,Briga Feia - Ao Vivo,744269,110153,8
2026-04-22,Henrique & Juliano,Cuida Bem Dela - Ao Vivo,605166,106945,9
2026-04-22,Henrique & Juliano,Até Você Voltar,636678,106216,10
2026-04-22,Julliany Souza,Quem É Esse? - Ao Vivo,102541,15110,1
2026-04-22,Julliany Souza,Lindo Momento - Ao Vivo,75768,12600,2
2026-04-22,Julliany Souza,Lindo Momento,74684,11924,3
2026-04-22,Julliany Souza,Quem é Esse?,63663,9387,4
