uri,track_name,artist_names,release_date,release_date_precision
spotify:track:1wrA9K1P177mkPNt9BB2OZ,Peão Todo Tatuado,"Jeninho, Mariana Fagundes",2026-03-06,day
spotify:track:0pkUneJOTi0uHF4Eqf3T6r,Eu Tô Querendo De Novo - Ao Vivo,"NATTAN, Anitta",2026-01-15,day
spotify:track:0Ao4OLBAduB4y8H80EKqTO,Sonho de Amor - Ao Vivo,Natanzinho Lima,2025-09-04,day
spotify:track:5YG4rxeltvw2KmOy0dW4z9,Montagem Sarra Sarra,"DJ YUZAK, MC BN, Mc RN Original",2025-11-05,day
spotify:track:6JH5wCoto58vgqa61jvazc,JAPONÊS,"Brandão85, Matuê",2025-11-30,day
spotify:track:7evftBiobEwWOwfxiTnnKc,Calma,Jorge & Mateus,2015-03-23,day
spotify:track:7bukHRNgGLRySTJEVvLoIR,Briga Feia - Ao Vivo,Henrique & Juliano,2020-05-15,day
spotify:track:4B1x7JW7xgPAnremTqrhZl,Ainda Tem Amor,Gusttavo Lima,2025-08-13,day
spotify:track:38jMHjnOAJDR4QUdk3IXsw,Dois Enganados,"Murilo Huff, Marília Mendonça",2019-03-29,day
spotify:track:0dNNhmOSnE6fOcXkNRO3uF,Direitos Iguais - Ao Vivo,Simone Mendes,2026-03-26,day
spotify:track:53iuhJlwXhSER5J2IYYv1W,The Fate of Ophelia,Taylor Swift,2025-10-03,day
spotify:track:5jXXQY6LLlEtEWMDL6XcaP,Chatão,"Mc Lele JP, DJ Oreia, Mc DR, Gubeatz, Mc Negão Original, MC Ryan SP",2025-08-07,day
spotify:track:6vGZfODFI1FxMImSUbdJhz,Resumindo - Ao Vivo,Zé Neto & Cristiano,2025-05-22,day
spotify:track:3R8dmcSyROSR73XsdeSd7g,Opa Cadê Eu - Ao Vivo,Clayton & Romário,2025-02-06,day
spotify:track:4Hk1gmBr2KVEXr3hHwSgUi,Mãe Solteira,"DG e Batidão Stronda, Mc Davi, J. Eskine, MC G15",2025-03-03,day
spotify:track:360yGInw4uhaOOWbAH3tuO,Saudade e Cabelos Brancos,Gusttavo Lima,2025-08-13,day
spotify:track:34dG0eoSn6ixDyTyurb94X,Gaivota,"Jorge & Mateus, Matheus & Kauan",2026-02-05,day
spotify:track:4f0aDk7HX37SfzerfznYlr,Lapada Dela - Ao Vivo,"Grupo Menos É Mais, Matheus Fernandes",2023-01-20,day
spotify:track:4TnEIYOXZ9KBGHOIqG5Xs5,ESCADA DO PRÉDIO,"PEDRO SAMPAIO, Marina Sena",2024-09-04,day
spotify:track:1YyQcX3oM8YsMTKeYFpoKx,Não Namora - Ao Vivo,"Clayton & Romário, Zé Neto & Cristiano",2026-03-05,day
spotify:track:708yXS1fLm1gAXFyIQxtX2,Romântico - Ao Vivo,Henrique & Juliano,2024-12-13,day
spotify:track:1ACPqFtyccKAozOfFFehQy,Onde Estão Meus Amigos,Gusttavo Lima,2025-08-13,day
spotify:track:7nVZlsK0RkoUWM9aZh3NBl,Podcast (Ao Vivo),Felipe e Rodrigo,2026-03-26,day
spotify:track:3Aha2T87AR4cKf3YCXHmAK,Casal do Mal,Ferrugem,2026-01-22,day
spotify:track:0HixceBFegrCY3GFBB7SlQ,Saudade do Carai,"Mari Fernandez, Grelo, Natanzinho Lima",2025-11-20,day
spotify:track:0BcvMyLAkdMMTroiPqS8S0,Lembrança Boa,Traia Véia,2025-11-06,day
spotify:track:0zxWyvrKyz031tFfBnkYLr,Como É Que A Gente Fica - Ao Vivo,Henrique & Juliano,2016-03-18,day
spotify:track:3RDv5uDgHJS8wBdPkoCXUF,Beatriz,"2ZDinizz, Leborato, HHR",2025-07-15,day
spotify:track:1CqUGmt2Cyn2vvvAyQKJZQ,Não Mexe nas Minhas Gavetas - Ao Vivo,Danilo e Davi,2026-01-29,day
spotify:track:1NPnoibZZyeILxD4mpvfAy,Um Dia Te Levo Comigo / Do Brasil à Argentina - Ao Vivo,"Panda, MJ Records",2025-05-26,day
spotify:track:6zWfgvh1e1FCdtfUVj370i,Carnívoro,"Mc Jacaré, Mc Negão Original, Mc Lele JP, DJ Japa NK",2026-01-23,day
spotify:track:6cx7X0XcCITnhIojf7c36T,Quem Que Tá,"CountryBeat, Ana Castela",2026-03-06,day
spotify:track:3jhyw60F61gc7nC4dblqtC,JETSKI,"PEDRO SAMPAIO, MC Meno K, Melody",2025-12-18,day
spotify:track:7HY7YlBwdZMTh69E1gkYm3,Pega Esse Carro - Ao Vivo,Marcos & Belutti,2025-12-11,day
spotify:track:0vKdIvvXWdvaQ2qPVchDWB,Assunto Que Dói,Gusttavo Lima,2026-03-05,day
spotify:track:3ZbetlcfZ0tgVWdvnRzuLB,Melzinho,"Talita Mel, Xand Avião",2025-05-14,day
spotify:track:6m8AgjfI28ER6odzMxmHtR,"Vida Loka, Pt. 1",Racionais MC's,2002-10-07,day
spotify:track:1JZDwJgE9VSC0V2GR66z63,SET DO JAPA NK 2.0,"DJ Japa NK, MC Ryan SP, MC Meno K, Mc IG, MC LUUKY, Mc Jacaré, Mc Rodrigo do CN, MC GH do 7, Mc Lele JP, MC Jvila, Oruam",2025-11-20,day
spotify:track:6II8HGRVkvVUy0uIM4X5Qq,Lua Cheia,Marina Sena,2025-03-31,day
spotify:track:7bNgXJ9MgGG7xOkyz9SLOY,SEQUÊNCIA CUNT (feat. Clementaum),"PEDRO SAMPAIO, Irmãs de Pau, Mc Gw, Tasha Kaiala, Clementaum",2025-11-18,day
spotify:track:7rIeU9DvfVAz2hroqBAiuV,Telefone,Luísa Sonza,2026-03-17,day
spotify:track:0wC5n42Q23ZLYnrJmreKcb,Deus Perdoa - Ao Vivo,Matheus & Kauan,2025-12-19,day
spotify:track:4gZWeQCCQETiEcSAkm2mFO,Viola Está Chorando - Ao Vivo,"Jads & Jadson, Hugo & Guilherme",2025-11-20,day
spotify:track:4pOGEJRVOuaa9oyy7qTGf6,Fui Mlk,"Nilo, Mc Paiva ZS, DJ Di Marques, Tropa da W&S, FamousKyo",2024-11-22,day
spotify:track:1gftPqMrQEkdJh2WbVRA1f,Me Ama Ou Me Larga - Ao Vivo,Simone Mendes,2025-12-11,day
spotify:track:75TRdahib714ZAAG24SboJ,Lobo da Matilha,"MC Leozinho ZS, MC Diogo da vn",2021-06-17,day
spotify:track:2pu7F1pbK5Yy1G9vR9LtjR,Ele E Ela - Ao Vivo,"Hugo & Guilherme, Grupo Menos É Mais",2025-12-18,day
spotify:track:1bWYjhtGuje05MGLOAQvpj,Fanatismo,Yasmin Sensação,2025-12-09,day
spotify:track:6swbbMI7aNHRAJgNaP5Ku0,Meu Pai Paga Minha Faculdade / Mexe Essa Sanfona / Eu Vou Pra Vaquejada / Vuco Vuco / Rei Do Baralho / Sala De Reboco,"Filho do Piseiro, Claudio Ney & Juliana",2026-01-30,day
spotify:track:25CffgwZg6vlUdCsHJijZo,Baqueado - Ao Vivo,"Panda, Ícaro e Gilmar, MJ Records",2024-12-19,day
