artist_name,spotify_id,followers,popularity,genres,source,occurrence_count,youtube_channel_id,total_youtube_views,extraction_date,selection_criteria
Melody,2P1puQXmG48EVLBrHbum1J,780383,62,vocal jazz; french jazz; jazz,Charts Q1 2026,26,UCEAyAWDPVDQoi6gAz7a1NHg,372449763,2026-04-18,Persistência temporal 3 meses × 2 plataformas
MC Meno K,1CbQrKvCpEnekM3QMGJtXK,1030122,85,brazilian funk; funk carioca; trap funk,Charts Q1 2026,26,UCBHxOYXaqJL3ygXZkkztVHA,344200066,2026-04-18,Persistência temporal 3 meses × 2 plataformas
cjnobeat,4fKJ81BAFxuwAFUI3B1BXM,74836,66,brega funk; brazilian funk,Charts Q1 2026,24,UCyiMmoG4es5_b0MX2-USUzA,315782502,2026-04-18,Persistência temporal 3 meses × 2 plataformas
DJ Japa NK,1bpnl8qbR9GxmiNlkEufW6,1099052,82,brazilian funk; funk carioca; trap funk,Charts Q1 2026,26,UC9OJH9t7DyfTCvfBSOTlHtQ,314694211,2026-04-18,Persistência temporal 3 meses × 2 plataformas
MC Rick,1mvpEXClANunyiHFtAXCxt,1715743,70,brazilian funk; funk de bh; trap funk,Charts Q1 2026,25,UCultZFbeIvI238_Goue9RLA,283308070,2026-04-18,Persistência temporal 3 meses × 2 plataformas
Oruam,4yGgbQJMq9orWypwqtdzYT,5164438,76,trap funk; brazilian trap; brazilian funk,Charts Q1 2026,26,UCn94qs9KSsiMS4AzOYDT2AA,250818570,2026-04-18,Persistência temporal 3 meses × 2 plataformas
Júnior e Cézar,5fWvTvWy2NCaVy8pFmWIvk,134745,66,sertanejo; sertanejo universitário,Charts Q1 2026,26,UCwmV-6rJk2MZMmGUqiTPtaA,157827234,2026-04-18,Persistência temporal 3 meses × 2 plataformas
MC Leozinho ZS,6VyttZwyEMGBl90oGdKCB8,928594,72,funk consciente; brazilian funk; trap funk,Charts Q1 2026,26,UCeqztLDJA-jpiHYiz9kvR_g,146793397,2026-04-18,Persistência temporal 3 meses × 2 plataformas
Mc DR,4d175LvxCzxt5vHbJyv49q,362172,58,brazilian funk; brega funk; funk de bh,Charts Q1 2026,24,UCEUvwufACkXJ2bNBnGefAgA,104740746,2026-04-18,Persistência temporal 3 meses × 2 plataformas
Mc Brinquedo,1SZXYhJz4sqEss888VmWLP,1127113,69,brazilian funk; funk consciente; trap funk,Charts Q1 2026,26,UCQ5aFf0oHfoSS-7I8ggIXLw,102547643,2026-04-18,Persistência temporal 3 meses × 2 plataformas
DJ Oreia,1b8S7EPzdckRyIh0uSbOMI,574473,76,brazilian funk; funk consciente; trap funk,Charts Q1 2026,26,UC1yFSCjRnChNAHpMAIiXqhQ,76596797,2026-04-18,Persistência temporal 3 meses × 2 plataformas
MC Menor ZL,7vtCvjMGmRijbRIvScJmkO,145367,62,brazilian funk; funk carioca; funk consciente,Charts Q1 2026,26,UCwlDY3Wkr6P9NZjp6oWtVwg,75084329,2026-04-18,Persistência temporal 3 meses × 2 plataformas
MC GH Original,6TlHQuC7PJX1Ki2AjN7YAy,45385,63,brazilian funk; funk carioca,Charts Q1 2026,26,UC4Hv8eXoo2jn7j84cp1SH6Q,58719165,2026-04-18,Persistência temporal 3 meses × 2 plataformas
MC RN do Capão,0ktgQZv6VIj48TP9VupyFB,111730,65,brazilian funk; funk carioca; funk consciente,Charts Q1 2026,25,UCTuEjx9lMtoQ8I70215EIsQ,53831625,2026-04-18,Persistência temporal 3 meses × 2 plataformas
Yasmin Sensação,30tExRU8h8VOiCeL9ia2aK,103868,63,arrocha; forró; seresta,Charts Q1 2026,22,UCIVtVZ7ZDWaPFvk9egJ-9DA,46274205,2026-04-18,Persistência temporal 3 meses × 2 plataformas
NandaTsunami,0bTjZS6jUVce4Sa7aMIFYk,255505,68,,Charts Q1 2026,22,UCABFYa1KHyQM7G1cN9Nfh8w,38699728,2026-04-18,Persistência temporal 3 meses × 2 plataformas
